date,Burner,Flow Floor Act,Flow Floor Set,Flow Radiator Act,Flow Radiator Set,Hotwater,Mixer Floor,Mixer Radiator
2016.12.06 22:15:25,66.0,0.0,22.0,0.0,0.0,61.2,22.7,0.0
2016.12.06 22:15:26,66.5,0.0,22.0,0.0,0.0,61.3,22.7,0.0
2016.12.06 22:15:27,67.0,0.0,22.0,0.0,0.0,61.5,22.7,0.0
2016.12.06 22:15:28,67.4,0.0,22.0,0.0,0.0,61.7,22.7,0.0
2016.12.06 22:15:29,67.1,0.0,22.0,0.0,0.0,61.9,22.7,0.0
2016.12.06 22:15:30,65.5,0.0,22.0,0.0,0.0,61.2,22.7,0.0
2016.12.06 22:15:31,64.1,0.0,22.0,0.0,0.0,59.9,22.7,0.0
2016.12.06 22:15:32,62.6,0.0,22.0,0.0,0.0,58.6,22.7,0.0
2016.12.06 22:15:33,61.2,0.0,22.0,0.0,0.0,57.4,22.7,0.0
2016.12.06 22:15:34,59.8,0.0,22.0,0.0,0.0,56.1,22.7,0.0
2016.12.06 22:15:35,58.5,0.0,22.0,0.0,0.0,54.9,22.7,0.0
2016.12.06 22:15:36,57.3,0.0,22.0,0.0,0.0,53.8,22.7,0.0
2016.12.06 22:15:37,56.0,0.0,22.0,0.0,0.0,52.7,22.7,0.0
2016.12.06 22:15:38,55.3,0.0,22.0,0.0,0.0,51.9,22.7,0.0
2016.12.06 22:15:39,56.2,0.0,22.0,0.0,0.0,52.0,22.7,0.0
2016.12.06 22:15:41,57.0,0.0,22.0,0.0,0.0,52.2,22.7,0.0
2016.12.06 22:15:42,57.8,0.0,22.0,0.0,0.0,52.4,22.7,0.0
2016.12.06 22:15:43,58.6,0.0,22.0,0.0,0.0,52.6,22.7,0.0
2016.12.06 22:15:44,59.3,0.0,22.0,0.0,0.0,52.8,22.7,0.0
2016.12.06 22:15:45,60.0,0.0,22.0,0.0,0.0,53.0,22.7,0.0
2016.12.06 22:15:46,60.7,0.0,22.0,0.0,0.0,53.3,22.7,0.0
2016.12.06 22:15:47,61.4,0.0,22.0,0.0,0.0,53.5,22.7,0.0
2016.12.06 22:15:48,62.0,0.0,22.0,0.0,0.0,53.8,22.7,0.0
2016.12.06 22:15:49,62.6,0.0,22.0,0.0,0.0,54.1,22.7,0.0
2016.12.06 22:15:50,63.2,0.0,22.0,0.0,0.0,54.4,22.7,0.0
2016.12.06 22:15:51,63.8,0.0,22.0,0.0,0.0,54.7,22.7,0.0
2016.12.06 22:15:52,64.3,0.0,22.0,0.0,0.0,55.0,22.7,0.0
2016.12.06 22:15:53,64.8,0.0,22.0,0.0,0.0,55.4,22.7,0.0
2016.12.06 22:15:54,65.4,0.0,22.0,0.0,0.0,55.7,22.7,0.0
