date,Burner,Flow Floor,Flow Radiator,Hotwater,Mixer Floor,Mixer Radiator
2016.12.01 22:13:44,59.7,0.0,0.0,58.4,0.0,0.0
2016.12.01 22:13:45,59.7,0.0,0.0,58.5,0.0,0.0
2016.12.01 22:13:46,59.7,0.0,0.0,58.5,0.0,0.0
2016.12.01 22:13:47,59.7,0.0,0.0,58.5,0.0,0.0
2016.12.01 22:13:48,59.7,0.0,0.0,58.6,0.0,0.0
2016.12.01 22:13:49,59.8,0.0,0.0,58.6,0.0,0.0
2016.12.01 22:13:50,59.8,0.0,0.0,58.7,0.0,0.0
2016.12.01 22:13:51,59.8,0.0,0.0,58.7,0.0,0.0
2016.12.01 22:13:52,59.8,0.0,0.0,58.7,0.0,0.0
2016.12.01 22:13:53,59.8,0.0,0.0,58.8,0.0,0.0
2016.12.01 22:13:54,59.8,0.0,0.0,58.8,0.0,0.0
2016.12.01 22:13:55,59.8,0.0,0.0,58.8,0.0,0.0
2016.12.01 22:13:56,59.8,0.0,0.0,58.9,0.0,0.0
2016.12.01 22:13:57,59.8,0.0,0.0,58.9,0.0,0.0
2016.12.01 22:13:58,59.8,0.0,0.0,58.9,0.0,0.0
2016.12.01 22:13:59,59.8,0.0,0.0,59.0,0.0,0.0
2016.12.01 22:14:00,59.8,0.0,0.0,59.0,0.0,0.0
2016.12.01 22:14:02,59.8,0.0,0.0,59.0,0.0,0.0
2016.12.01 22:14:03,59.8,0.0,0.0,59.0,0.0,0.0
2016.12.01 22:14:04,59.8,0.0,0.0,59.1,0.0,0.0
2016.12.01 22:14:05,59.9,0.0,0.0,59.1,0.0,0.0
2016.12.01 22:14:06,59.9,0.0,0.0,59.1,0.0,0.0
2016.12.01 22:14:07,59.9,0.0,0.0,59.2,0.0,0.0
2016.12.01 22:14:08,59.9,0.0,0.0,59.2,0.0,0.0
2016.12.01 22:14:09,59.9,0.0,0.0,59.2,0.0,0.0
2016.12.01 22:14:10,59.9,0.0,0.0,59.2,0.0,0.0
2016.12.01 22:14:11,59.9,0.0,0.0,59.2,0.0,0.0
2016.12.01 22:14:12,59.9,0.0,0.0,59.3,0.0,0.0
2016.12.01 22:14:13,59.9,0.0,0.0,59.3,0.0,0.0
2016.12.01 22:14:14,59.9,0.0,0.0,59.3,0.0,0.0
2016.12.01 22:14:15,59.9,0.0,0.0,59.3,0.0,0.0
2016.12.01 22:14:16,59.9,0.0,0.0,59.3,0.0,0.0
2016.12.01 22:14:17,59.9,0.0,0.0,59.4,0.0,0.0
2016.12.01 22:14:18,59.9,0.0,0.0,59.4,0.0,0.0
2016.12.01 22:14:19,59.9,0.0,0.0,59.4,0.0,0.0
2016.12.01 22:14:21,59.9,0.0,0.0,59.4,0.0,0.0
2016.12.01 22:14:22,59.9,0.0,0.0,59.4,0.0,0.0
2016.12.01 22:14:23,59.9,0.0,0.0,59.5,0.0,0.0
2016.12.01 22:14:24,59.9,0.0,0.0,59.5,0.0,0.0
2016.12.01 22:14:25,59.9,0.0,0.0,59.5,0.0,0.0
2016.12.01 22:14:26,59.9,0.0,0.0,59.5,0.0,0.0
2016.12.01 22:14:27,59.9,0.0,0.0,59.5,0.0,0.0
2016.12.01 22:14:28,59.9,0.0,0.0,59.5,0.0,0.0
2016.12.01 22:14:29,59.9,0.0,0.0,59.5,0.0,0.0
2016.12.01 22:14:30,59.9,0.0,0.0,59.6,0.0,0.0
2016.12.01 22:14:31,59.9,0.0,0.0,59.6,0.0,0.0
2016.12.01 22:14:32,59.9,0.0,0.0,59.6,0.0,0.0
2016.12.01 22:14:33,59.9,0.0,0.0,59.6,0.0,0.0
2016.12.01 22:14:34,59.9,0.0,0.0,59.6,0.0,0.0
2016.12.01 22:14:35,59.9,0.0,0.0,59.6,0.0,0.0
2016.12.01 22:14:36,59.9,0.0,0.0,59.6,0.0,0.0
2016.12.01 22:14:38,60.0,0.0,0.0,59.6,0.0,0.0
2016.12.01 22:14:39,60.0,0.0,0.0,59.7,0.0,0.0
2016.12.01 22:14:40,60.0,0.0,0.0,59.7,0.0,0.0
2016.12.01 22:14:41,60.0,0.0,0.0,59.7,0.0,0.0
2016.12.01 22:14:42,60.0,0.0,0.0,59.7,0.0,0.0
2016.12.01 22:14:43,60.0,0.0,0.0,59.7,0.0,0.0
2016.12.01 22:14:44,60.0,0.0,0.0,59.7,0.0,0.0
2016.12.01 22:14:45,60.0,0.0,0.0,59.7,0.0,0.0
2016.12.01 22:14:46,60.0,0.0,0.0,59.7,0.0,0.0
2016.12.01 22:14:47,60.0,0.0,0.0,59.7,0.0,0.0
2016.12.01 22:14:48,60.0,0.0,0.0,59.7,0.0,0.0
2016.12.01 22:14:49,60.0,0.0,0.0,59.7,0.0,0.0
2016.12.01 22:14:50,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:14:51,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:14:52,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:14:53,60.0,0.0,0.0,59.8,0.0,0.0
